point_id,x,y,z,r,g,b,n_obs,mean_reproj_error
0,0.028440335605586533,0.03210011271028533,-0.005237755734335819,106,98,95,2,0.13316687628005142
1,0.01696623119357623,0.04470736173101978,-0.004827129442015913,96,93,87,11,0.4473138841363598
2,-0.000259218269099233,0.03302901280183889,0.013868369056814305,176,171,159,9,0.6612387200263107
3,0.005578073219084272,0.07439059884189553,-0.0028535009566075303,134,131,115,8,0.8199047869033963
4,0.008099215743818982,0.02896614042556933,-0.011292873936344452,98,97,86,2,0.03482722165687795
5,-0.015878794486105213,0.033217001560908024,-0.0029969981827666667,132,131,115,13,0.48700038557024566
6,0.03347038014126263,0.06961128415100332,-0.0028380040018579802,89,88,81,13,0.8143042297991615
7,0.04223896070354139,0.0904085644617406,0.023439253567935484,230,218,206,4,0.9513047259595446
8,0.027246905898450753,0.09551348864162543,0.00039017223986996335,75,74,69,15,0.9894040831781453
9,-0.0007503612531286307,0.026952248493367307,0.030250235630281008,133,126,119,2,0.25922393350167783
10,0.006896279414559193,0.03427876020455026,0.02025393274177555,215,209,197,11,0.5784808086080789
11,-0.013229394216607753,0.057685677380845006,-0.010095671149822969,132,126,113,5,0.2838006860026503
12,0.006526862500274675,0.025425023716833764,-0.013952958045527982,3,0,0,2,0.11449222643035373
13,-0.011735537715745613,0.05474078248793051,-0.0069885118003015735,222,222,198,5,0.524242707021943
14,0.03279961673937317,0.0352052034738009,0.0023177956593413455,119,113,107,6,0.7515727713613366
15,0.03741806424060907,0.08303899063792486,0.014002794363645875,41,40,33,4,1.746286683977765
16,-0.00362719581595989,0.07559605408360531,-0.018755038139098745,4,2,0,2,0.7650785123477165
17,0.03023390246951221,0.09874835038015484,0.013218623222381732,180,173,165,13,0.3106228186476275
18,0.044277134247835304,0.07335246550294965,0.02658138511834047,62,63,57,7,0.4789187007186397
19,0.024003706454125542,0.08419696150404116,0.0017414782223657682,51,49,42,18,1.3676606446049269
20,0.01605868452498162,0.0330342300070772,0.03145285551290442,211,200,189,3,0.04989069857546466
21,0.027846797862404016,0.1035786243617588,0.0046408125884813195,107,100,87,4,0.21623650676277928
22,0.04576256250240883,0.06908259047659833,0.03482626760333183,104,104,93,6,0.43873597785431023
23,0.017862314735511614,0.03885476965873032,0.024791227393349626,155,146,136,10,0.6481776650645875
24,0.009860912545151299,0.030159147887459384,0.04575534472467482,106,96,81,10,0.5795311390378375
25,-0.00021649694638960817,0.028380627758495293,-0.005767767164191528,109,101,92,7,0.292569182785892
26,-0.0035331444158787436,0.03166256094131959,0.007355801685807826,162,158,141,6,0.43350109740561843
